
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 19:44:53 / ........................................................................................ ~ 8s
  2026-05-23 19:46:07 / ........................................................................................ ~ 1s

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 21:06:36 /admin/settings .................................................................... ~ 537.65ms
  2026-05-23 21:06:36 /assets/brand/logo-symbol.png ........................................................ ~ 0.62ms
  2026-05-23 21:06:40 /admin/analytics ................................................................... ~ 515.84ms
  2026-05-23 21:06:41 /assets/brand/logo-symbol.png ........................................................ ~ 4.86ms
  2026-05-23 21:06:44 /guide ............................................................................. ~ 504.81ms
  2026-05-23 21:06:44 /assets/brand/logo-primary.png ..................................................... ~ 511.54ms
  2026-05-23 21:08:23 /marketplace ............................................................................. ~ 1s
  2026-05-23 21:08:23 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 1.04ms
  2026-05-23 21:08:23 /assets/brand/logo-primary.png ..................................................... ~ 535.94ms
  2026-05-23 21:08:23 /assets/livestock/bull-real.jpg ...................................................... ~ 3.16ms
  2026-05-23 21:08:23 /assets/livestock/goat-real.jpg ...................................................... ~ 0.52ms
  2026-05-23 21:08:23 /assets/livestock/sheep-real.jpg ..................................................... ~ 0.70ms
  2026-05-23 21:08:23 /assets/livestock/chicken.jpg ........................................................ ~ 0.52ms
